,a,b,c,d,e,id
1072,300,0,21.2,300,0,2
1073,300,300,7.6,300,29100,2
1074,300,0,4,300,900,2
1075,300,0,4,300,2400,2
1076,600,600,4.8,600,0,2
1077,600,300,5.8,600,0,2
1078,600,600,4.41,600,0,2
1079,300,300,5.61,300,0,2
1080,900,300,6.41,900,0,2
1081,600,300,10.01,600,1800,2
1082,300,300,19.21,300,3300,2
1083,600,300,19.21,600,4200,2
1084,600,1500,81.2,600,15600,2
1085,600,0,62.4,600,0,2
1086,300,900,52.8,300,0,2
1087,600,900,28.4,600,0,2
1088,900,600,19.2,900,0,2
1089,600,300,14.8,600,0,2
1090,900,600,19.2,900,0,2
1091,300,0,61.2,300,45300,2
1092,300,600,73.6,300,0,2
1093,600,600,61.2,600,0,2
1094,600,900,61.2,600,0,2
1095,600,300,48.8,600,1200,2
1096,300,600,61.2,300,3300,2
1097,600,300,45.6,600,14400,2
1098,300,300,4.8,300,44100,2
1099,300,0,4,300,300,2
1100,300,0,4,300,600,2
1101,300,300,6.4,300,600,2
1102,300,300,6.4,300,0,2
1103,300,300,6.4,300,0,2
1104,300,0,22.4,300,1200,2
1105,300,300,6.4,300,3000,2
1106,600,300,12,600,0,2
1107,300,0,16.80666667,300,4800,2
1108,300,300,5.2,300,5400,2
1109,900,900,80,900,19500,2
1110,300,300,56.8,300,0,2
1111,300,900,45.2,300,0,2
1112,2100,300,25.2,2100,300,2
1113,300,300,15.2,300,0,2
1114,300,300,13.2,300,45900,2
1115,600,600,51.6,600,27300,2
1116,600,2400,28.8,600,0,2
1117,1500,900,28.8,1500,0,2
1118,600,600,23.2,600,0,2
1119,300,0,4,300,27900,2
1120,300,0,3.6,300,600,2
1121,600,600,5.2,600,300,2
1122,300,0,4.4,300,0,2
1123,300,300,4.4,300,300,2
1124,300,300,4.4,300,0,2
1125,300,600,22.005,300,1200,2
1126,300,900,32.8,300,600,2
1127,300,300,8.4,300,0,2
1128,600,0,20.8,600,7500,2
1129,300,900,46.8,300,900,2
1130,300,300,38.8,300,300,2
1131,300,0,7.6,300,62400,2
1132,600,300,8.4,600,2400,2
1133,300,0,4.2,300,3300,2
1134,300,600,50,300,6900,2
1135,600,300,19.6,600,10800,2
1136,300,0,6.8,300,51300,2
1137,300,300,6.8,300,7500,2
1138,300,300,6,300,0,2
1139,300,300,8.4,300,300,2
1140,600,300,10.8,600,0,2
1141,900,600,32.8,900,3600,2
1142,600,600,32.8,600,0,2
1143,300,600,39.6,300,300,2
1144,300,900,46.8,300,1200,2
1145,600,300,49.2,600,4800,2
1146,600,600,49.2,600,0,2
1147,600,300,49.2,600,1800,2
1148,300,600,60.4,300,5700,2
